quarter years, hare pop, lynx pop
0.00,1000.0000,100.0000
0.25,1177.5000,100.0000
0.50,1382.1922,101.1306
0.75,1617.0086,103.1658
1.00,1884.6918,105.9667
1.25,2187.4821,109.4458
1.50,2526.7377,113.5473
1.75,2902.5193,118.2364
2.00,3313.1868,123.4918
2.25,3755.0761,129.3015
2.50,4222.3354,135.6598
2.75,4707.0009,142.5653
3.00,5199.3650,150.0192
3.25,5688.6368,158.0243
3.50,6163.8231,166.5838
3.75,6614.6914,175.7010
4.00,7032.6413,185.3783
4.25,7411.3274,195.6168
4.50,7746.9416,206.4157
4.75,8038.1473,217.7719
5.00,8285.7382,229.6799
5.25,8492.1353,242.1308
5.50,8660.8380,255.1128
5.75,8795.9207,268.6104
6.00,8901.6265,282.6040
6.25,8982.0750,297.0703
6.50,9041.0777,311.9817
6.75,9082.0401,327.3061
7.00,9107.9287,343.0073
7.25,9121.2786,359.0445
7.50,9124.2274,375.3730
7.75,9118.5605,391.9437
8.00,9105.7603,408.7043
8.25,9087.0549,425.5989
8.50,9063.4613,442.5689
8.75,9035.8246,459.5535
9.00,9004.8508,476.4907
9.25,8971.1341,493.3174
9.50,8935.1797,509.9708
9.75,8897.4217,526.3889
10.00,8858.2378,542.5114
10.25,8817.9605,558.2807
10.50,8776.8860,573.6424
10.75,8735.2809,588.5464
11.00,8693.3871,602.9470
11.25,8651.4256,616.8041
11.50,8609.5992,630.0831
11.75,8568.0940,642.7554
12.00,8527.0811,654.7988
12.25,8486.7166,666.1969
12.50,8447.1427,676.9400
12.75,8408.4879,687.0238
13.00,8370.8665,696.4501
13.25,8334.3794,705.2258
13.50,8299.1139,713.3624
13.75,8265.1438,720.8760
14.00,8232.5298,727.7863
14.25,8201.3196,734.1160
14.50,8171.5488,739.8906
14.75,8143.2408,745.1375
15.00,8116.4078,749.8856
15.25,8091.0516,754.1648
15.50,8067.1641,758.0056
15.75,8044.7282,761.4383
16.00,8023.7190,764.4932
16.25,8004.1042,767.2000
16.50,7985.8453,769.5874
16.75,7968.8986,771.6833
17.00,7953.2156,773.5140
17.25,7938.7445,775.1047
17.50,7925.4305,776.4791
17.75,7913.2168,777.6595
18.00,7902.0452,778.6665
18.25,7891.8567,779.5192
18.50,7882.5925,780.2353
18.75,7874.1938,780.8310
19.00,7866.6028,781.3210
19.25,7859.7630,781.7187
19.50,7853.6194,782.0363
19.75,7848.1190,782.2847
20.00,7843.2105,782.4736
20.25,7838.8454,782.6118
20.50,7834.9772,782.7071
20.75,7831.5620,782.7664
21.00,7828.5584,782.7956
21.25,7825.9278,782.8001
21.50,7823.6338,782.7845
21.75,7821.6426,782.7529
22.00,7819.9231,782.7088
22.25,7818.4463,782.6550
22.50,7817.1856,782.5941
22.75,7816.1167,782.5284
23.00,7815.2174,782.4596
23.25,7814.4673,782.3891
23.50,7813.8480,782.3184
23.75,7813.3430,782.2483
24.00,7812.9372,782.1796
24.25,7812.6171,782.1131
24.50,7812.3708,782.0492
24.75,7812.1875,781.9882
25.00,7812.0577,781.9305
25.25,7811.9730,781.8761
25.50,7811.9258,781.8251
25.75,7811.9098,781.7776
26.00,7811.9192,781.7336
26.25,7811.9490,781.6929
26.50,7811.9950,781.6556
26.75,7812.0536,781.6213
27.00,7812.1214,781.5901
27.25,7812.1959,781.5618
27.50,7812.2748,781.5361
27.75,7812.3563,781.5129
28.00,7812.4387,781.4921
28.25,7812.5207,781.4735
28.50,7812.6014,781.4569
28.75,7812.6800,781.4421
29.00,7812.7557,781.4291
29.25,7812.8282,781.4176
29.50,7812.8970,781.4074
29.75,7812.9620,781.3986
30.00,7813.0230,781.3909
30.25,7813.0799,781.3843
30.50,7813.1329,781.3786
30.75,7813.1818,781.3737
31.00,7813.2269,781.3695
31.25,7813.2683,781.3660
31.50,7813.3061,781.3631
31.75,7813.3405,781.3606
32.00,7813.3716,781.3586
32.25,7813.3998,781.3570
32.50,7813.4251,781.3557
32.75,7813.4479,781.3547
33.00,7813.4682,781.3540
33.25,7813.4862,781.3535
33.50,7813.5022,781.3531
33.75,7813.5164,781.3529
34.00,7813.5288,781.3528
34.25,7813.5397,781.3528
34.50,7813.5492,781.3529
34.75,7813.5574,781.3530
35.00,7813.5645,781.3532
35.25,7813.5706,781.3535
35.50,7813.5758,781.3538
35.75,7813.5802,781.3540
36.00,7813.5839,781.3543
36.25,7813.5869,781.3546
36.50,7813.5895,781.3549
36.75,7813.5915,781.3552
37.00,7813.5932,781.3555
37.25,7813.5944,781.3558
37.50,7813.5954,781.3561
37.75,7813.5961,781.3564
38.00,7813.5966,781.3566
38.25,7813.5970,781.3568
38.50,7813.5971,781.3570
38.75,7813.5972,781.3572
39.00,7813.5971,781.3574
39.25,7813.5970,781.3576
39.50,7813.5967,781.3578
39.75,7813.5965,781.3579
40.00,7813.5962,781.3580
40.25,7813.5958,781.3581
40.50,7813.5955,781.3583
40.75,7813.5951,781.3584
41.00,7813.5948,781.3584
41.25,7813.5944,781.3585
41.50,7813.5941,781.3586
41.75,7813.5938,781.3586
42.00,7813.5934,781.3587
42.25,7813.5931,781.3588
42.50,7813.5928,781.3588
42.75,7813.5926,781.3588
43.00,7813.5923,781.3589
43.25,7813.5921,781.3589
43.50,7813.5918,781.3589
43.75,7813.5916,781.3589
44.00,7813.5914,781.3590
44.25,7813.5913,781.3590
44.50,7813.5911,781.3590
44.75,7813.5910,781.3590
45.00,7813.5908,781.3590
45.25,7813.5907,781.3590
45.50,7813.5906,781.3590
45.75,7813.5905,781.3590
46.00,7813.5904,781.3590
46.25,7813.5904,781.3590
46.50,7813.5903,781.3590
46.75,7813.5902,781.3590
47.00,7813.5902,781.3590
47.25,7813.5901,781.3590
47.50,7813.5901,781.3590
47.75,7813.5901,781.3590
48.00,7813.5900,781.3590
48.25,7813.5900,781.3590
48.50,7813.5900,781.3590
48.75,7813.5900,781.3590
49.00,7813.5899,781.3590
49.25,7813.5899,781.3590
49.50,7813.5899,781.3590
49.75,7813.5899,781.3590
50.00,7813.5899,781.3590
50.25,7813.5899,781.3590
50.50,7813.5899,781.3590
50.75,7813.5899,781.3590
51.00,7813.5899,781.3590
51.25,7813.5899,781.3590
51.50,7813.5899,781.3590
51.75,7813.5899,781.3590
52.00,7813.5899,781.3590
52.25,7813.5899,781.3590
52.50,7813.5899,781.3590
52.75,7813.5899,781.3590
53.00,7813.5899,781.3590
53.25,7813.5899,781.3590
53.50,7813.5899,781.3590
53.75,7813.5899,781.3590
54.00,7813.5899,781.3590
54.25,7813.5899,781.3590
54.50,7813.5899,781.3590
54.75,7813.5899,781.3590
55.00,7813.5899,781.3590
55.25,7813.5899,781.3590
55.50,7813.5899,781.3590
55.75,7813.5899,781.3590
56.00,7813.5899,781.3590
56.25,7813.5899,781.3590
56.50,7813.5899,781.3590
56.75,7813.5899,781.3590
57.00,7813.5899,781.3590
57.25,7813.5899,781.3590
57.50,7813.5899,781.3590
57.75,7813.5899,781.3590
58.00,7813.5899,781.3590
58.25,7813.5899,781.3590
58.50,7813.5899,781.3590
58.75,7813.5899,781.3590
59.00,7813.5899,781.3590
59.25,7813.5899,781.3590
59.50,7813.5899,781.3590
59.75,7813.5899,781.3590
60.00,7813.5899,781.3590
60.25,7813.5899,781.3590
60.50,7813.5899,781.3590
60.75,7813.5899,781.3590
