quarter years, hare pop, lynx pop
0.00,1000.0000,100.0000
0.25,1140.0000,100.0000
0.50,1296.6163,100.9211
0.75,1471.4264,102.5988
1.00,1666.0538,104.9282
1.25,1882.0392,107.8416
1.50,2120.6780,111.2952
1.75,2382.8298,115.2616
2.00,2668.7125,119.7247
2.25,2977.6972,124.6757
2.50,3308.1292,130.1113
2.75,3657.2026,136.0316
3.00,4020.9220,142.4391
3.25,4394.1758,149.3377
3.50,4770.9373,156.7316
3.75,5144.5872,164.6248
4.00,5508.3279,173.0207
4.25,5855.6386,181.9212
4.50,6180.7085,191.3264
4.75,6478.7846,201.2340
5.00,6746.3924,211.6387
5.25,6981.4091,222.5322
5.50,7183.0017,233.9022
5.75,7351.4593,245.7324
6.00,7487.9636,258.0018
6.25,7594.3382,270.6848
6.50,7672.8106,283.7501
6.75,7725.8089,297.1613
7.00,7755.8022,310.8760
7.25,7765.1866,324.8461
7.50,7756.2126,339.0174
7.75,7730.9439,353.3301
8.00,7691.2431,367.7186
8.25,7638.7731,382.1120
8.50,7575.0106,396.4347
8.75,7501.2650,410.6069
9.00,7418.7013,424.5454
9.25,7328.3621,438.1649
9.50,7231.1894,451.3788
9.75,7128.0440,464.1005
10.00,7019.7228,476.2452
10.25,6906.9732,487.7309
10.50,6790.5044,498.4801
10.75,6670.9976,508.4216
11.00,6549.1123,517.4917
11.25,6425.4913,525.6356
11.50,6300.7640,532.8087
11.75,6175.5475,538.9776
12.00,6050.4468,544.1210
12.25,5926.0535,548.2302
12.50,5802.9439,551.3091
12.75,5681.6760,553.3744
13.00,5562.7865,554.4550
13.25,5446.7873,554.5913
13.50,5334.1617,553.8344
13.75,5225.3611,552.2444
14.00,5120.8016,549.8896
14.25,5020.8609,546.8445
14.50,4925.8764,543.1884
14.75,4836.1426,539.0035
15.00,4751.9104,534.3735
15.25,4673.3855,529.3820
15.50,4600.7295,524.1110
15.75,4534.0589,518.6396
16.00,4473.4474,513.0432
16.25,4418.9264,507.3921
16.50,4370.4871,501.7515
16.75,4328.0830,496.1804
17.00,4291.6313,490.7316
17.25,4261.0165,485.4515
17.50,4236.0921,480.3802
17.75,4216.6833,475.5518
18.00,4202.5900,470.9941
18.25,4193.5886,466.7296
18.50,4189.4343,462.7755
18.75,4189.8642,459.1441
19.00,4194.5981,455.8436
19.25,4203.3419,452.8782
19.50,4215.7887,450.2484
19.75,4231.6210,447.9519
20.00,4250.5130,445.9838
20.25,4272.1324,444.3365
20.50,4296.1428,443.0008
20.75,4322.2054,441.9655
21.00,4349.9818,441.2182
21.25,4379.1359,440.7450
21.50,4409.3367,440.5313
21.75,4440.2602,440.5614
22.00,4471.5925,440.8193
22.25,4503.0314,441.2880
22.50,4534.2892,441.9506
22.75,4565.0946,442.7897
23.00,4595.1945,443.7877
23.25,4624.3559,444.9272
23.50,4652.3675,446.1906
23.75,4679.0403,447.5606
24.00,4704.2088,449.0200
24.25,4727.7318,450.5521
24.50,4749.4917,452.1403
24.75,4769.3955,453.7688
25.00,4787.3733,455.4222
25.25,4803.3786,457.0857
25.50,4817.3866,458.7452
25.75,4829.3932,460.3874
26.00,4839.4141,461.9998
26.25,4847.4829,463.5708
26.50,4853.6494,465.0897
26.75,4857.9784,466.5468
27.00,4860.5477,467.9335
27.25,4861.4464,469.2419
27.50,4860.7731,470.4655
27.75,4858.6345,471.5988
28.00,4855.1436,472.6372
28.25,4850.4180,473.5774
28.50,4844.5787,474.4169
28.75,4837.7488,475.1544
29.00,4830.0516,475.7894
29.25,4821.6102,476.3225
29.50,4812.5459,476.7551
29.75,4802.9773,477.0894
30.00,4793.0198,477.3284
30.25,4782.7842,477.4758
30.50,4772.3765,477.5359
30.75,4761.8973,477.5135
31.00,4751.4410,477.4140
31.25,4741.0958,477.2429
31.50,4730.9430,477.0064
31.75,4721.0571,476.7105
32.00,4711.5056,476.3618
32.25,4702.3487,475.9666
32.50,4693.6393,475.5315
32.75,4685.4233,475.0629
33.00,4677.7394,474.5670
33.25,4670.6195,474.0501
33.50,4664.0886,473.5182
33.75,4658.1653,472.9769
34.00,4652.8618,472.4316
34.25,4648.1844,471.8874
34.50,4644.1336,471.3492
34.75,4640.7049,470.8212
35.00,4637.8885,470.3076
35.25,4635.6703,469.8118
35.50,4634.0319,469.3371
35.75,4632.9512,468.8864
36.00,4632.4026,468.4620
36.25,4632.3578,468.0659
36.50,4632.7857,467.6999
36.75,4633.6532,467.3651
37.00,4634.9256,467.0626
37.25,4636.5667,466.7927
37.50,4638.5394,466.5560
37.75,4640.8061,466.3521
38.00,4643.3288,466.1809
38.25,4646.0698,466.0418
38.50,4648.9918,465.9338
38.75,4652.0580,465.8561
39.00,4655.2330,465.8072
39.25,4658.4823,465.7859
39.50,4661.7730,465.7906
39.75,4665.0739,465.8196
40.00,4668.3554,465.8711
40.25,4671.5902,465.9433
40.50,4674.7530,466.0342
40.75,4677.8206,466.1420
41.00,4680.7721,466.2645
41.25,4683.5890,466.4000
41.50,4686.2550,466.5463
41.75,4688.7562,466.7015
42.00,4691.0811,466.8638
42.25,4693.2203,467.0313
42.50,4695.1667,467.2023
42.75,4696.9153,467.3750
43.00,4698.4633,467.5479
43.25,4699.8096,467.7194
43.50,4700.9552,467.8882
43.75,4701.9025,468.0530
44.00,4702.6558,468.2126
44.25,4703.2205,468.3659
44.50,4703.6036,468.5120
44.75,4703.8132,468.6501
45.00,4703.8583,468.7794
45.25,4703.7488,468.8995
45.50,4703.4953,469.0098
45.75,4703.1092,469.1100
46.00,4702.6021,469.1998
46.25,4701.9860,469.2792
46.50,4701.2731,469.3480
46.75,4700.4757,469.4064
47.00,4699.6060,469.4544
47.25,4698.6762,469.4923
47.50,4697.6980,469.5204
47.75,4696.6831,469.5391
48.00,4695.6425,469.5488
48.25,4694.5868,469.5500
48.50,4693.5263,469.5431
48.75,4692.4704,469.5288
49.00,4691.4279,469.5077
49.25,4690.4071,469.4803
49.50,4689.4155,469.4473
49.75,4688.4598,469.4093
50.00,4687.5461,469.3670
50.25,4686.6797,469.3210
50.50,4685.8651,469.2720
50.75,4685.1061,469.2205
51.00,4684.4058,469.1672
51.25,4683.7667,469.1126
51.50,4683.1904,469.0573
51.75,4682.6780,469.0019
52.00,4682.2300,468.9467
52.25,4681.8461,468.8924
52.50,4681.5257,468.8392
52.75,4681.2677,468.7876
53.00,4681.0703,468.7380
53.25,4680.9315,468.6906
53.50,4680.8487,468.6457
53.75,4680.8193,468.6036
54.00,4680.8401,468.5644
54.25,4680.9079,468.5284
54.50,4681.0190,468.4955
54.75,4681.1698,468.4660
55.00,4681.3565,468.4398
55.25,4681.5753,468.4170
55.50,4681.8222,468.3975
55.75,4682.0933,468.3813
56.00,4682.3848,468.3684
56.25,4682.6929,468.3587
56.50,4683.0138,468.3520
56.75,4683.3439,468.3482
57.00,4683.6799,468.3472
57.25,4684.0183,468.3487
57.50,4684.3562,468.3527
57.75,4684.6906,468.3589
58.00,4685.0189,468.3672
58.25,4685.3385,468.3773
58.50,4685.6472,468.3890
58.75,4685.9430,468.4022
59.00,4686.2242,468.4166
59.25,4686.4892,468.4320
59.50,4686.7368,468.4483
59.75,4686.9658,468.4652
60.00,4687.1755,468.4825
60.25,4687.3652,468.5001
60.50,4687.5345,468.5179
60.75,4687.6833,468.5355
61.00,4687.8115,468.5530
61.25,4687.9193,468.5701
61.50,4688.0070,468.5867
61.75,4688.0752,468.6028
62.00,4688.1245,468.6181
62.25,4688.1555,468.6327
62.50,4688.1693,468.6464
62.75,4688.1667,468.6592
63.00,4688.1488,468.6710
63.25,4688.1168,468.6818
63.50,4688.0717,468.6915
63.75,4688.0148,468.7002
64.00,4687.9474,468.7078
64.25,4687.8706,468.7143
64.50,4687.7857,468.7198
64.75,4687.6940,468.7242
65.00,4687.5967,468.7276
65.25,4687.4950,468.7300
65.50,4687.3900,468.7314
65.75,4687.2829,468.7320
66.00,4687.1748,468.7317
66.25,4687.0665,468.7307
66.50,4686.9592,468.7289
66.75,4686.8536,468.7264
67.00,4686.7505,468.7233
67.25,4686.6508,468.7197
67.50,4686.5550,468.7156
67.75,4686.4638,468.7111
68.00,4686.3776,468.7062
68.25,4686.2969,468.7011
68.50,4686.2221,468.6957
68.75,4686.1534,468.6902
69.00,4686.0910,468.6846
69.25,4686.0351,468.6789
69.50,4685.9857,468.6733
69.75,4685.9430,468.6677
70.00,4685.9068,468.6622
70.25,4685.8770,468.6568
70.50,4685.8535,468.6516
70.75,4685.8362,468.6467
71.00,4685.8247,468.6419
71.25,4685.8188,468.6375
71.50,4685.8183,468.6333
71.75,4685.8227,468.6294
72.00,4685.8317,468.6259
72.25,4685.8451,468.6227
72.50,4685.8623,468.6198
72.75,4685.8830,468.6173
73.00,4685.9067,468.6151
73.25,4685.9332,468.6133
73.50,4685.9620,468.6118
73.75,4685.9926,468.6106
74.00,4686.0248,468.6098
74.25,4686.0581,468.6092
74.50,4686.0922,468.6090
74.75,4686.1267,468.6090
75.00,4686.1614,468.6093
75.25,4686.1958,468.6098
75.50,4686.2297,468.6105
75.75,4686.2629,468.6115
76.00,4686.2951,468.6126
76.25,4686.3261,468.6138
76.50,4686.3557,468.6152
76.75,4686.3837,468.6168
77.00,4686.4100,468.6184
77.25,4686.4344,468.6201
77.50,4686.4569,468.6218
77.75,4686.4774,468.6236
78.00,4686.4958,468.6254
78.25,4686.5122,468.6272
78.50,4686.5264,468.6290
78.75,4686.5386,468.6308
79.00,4686.5486,468.6325
79.25,4686.5567,468.6342
79.50,4686.5627,468.6358
79.75,4686.5669,468.6374
80.00,4686.5692,468.6388
80.25,4686.5699,468.6402
80.50,4686.5689,468.6414
80.75,4686.5664,468.6426
81.00,4686.5624,468.6436
81.25,4686.5573,468.6446
81.50,4686.5509,468.6454
81.75,4686.5436,468.6461
82.00,4686.5353,468.6468
82.25,4686.5263,468.6473
82.50,4686.5167,468.6477
82.75,4686.5065,468.6480
83.00,4686.4959,468.6482
83.25,4686.4851,468.6483
83.50,4686.4741,468.6483
83.75,4686.4630,468.6482
84.00,4686.4520,468.6481
84.25,4686.4411,468.6479
84.50,4686.4304,468.6476
84.75,4686.4200,468.6472
85.00,4686.4100,468.6469
85.25,4686.4004,468.6464
85.50,4686.3913,468.6459
85.75,4686.3827,468.6454
86.00,4686.3748,468.6449
86.25,4686.3674,468.6443
86.50,4686.3607,468.6438
86.75,4686.3546,468.6432
87.00,4686.3492,468.6426
87.25,4686.3444,468.6420
87.50,4686.3404,468.6415
87.75,4686.3370,468.6409
88.00,4686.3342,468.6404
88.25,4686.3321,468.6398
88.50,4686.3306,468.6393
88.75,4686.3297,468.6389
89.00,4686.3294,468.6384
89.25,4686.3296,468.6380
89.50,4686.3303,468.6376
89.75,4686.3314,468.6373
90.00,4686.3329,468.6370
90.25,4686.3349,468.6367
90.50,4686.3371,468.6365
90.75,4686.3397,468.6363
91.00,4686.3425,468.6361
91.25,4686.3456,468.6359
91.50,4686.3488,468.6358
91.75,4686.3521,468.6358
92.00,4686.3556,468.6357
92.25,4686.3591,468.6357
92.50,4686.3626,468.6357
92.75,4686.3662,468.6358
93.00,4686.3697,468.6358
93.25,4686.3731,468.6359
93.50,4686.3764,468.6360
93.75,4686.3797,468.6361
94.00,4686.3828,468.6363
94.25,4686.3857,468.6364
94.50,4686.3885,468.6366
94.75,4686.3911,468.6368
95.00,4686.3935,468.6369
95.25,4686.3957,468.6371
95.50,4686.3977,468.6373
95.75,4686.3995,468.6375
96.00,4686.4011,468.6377
96.25,4686.4024,468.6379
96.50,4686.4036,468.6380
96.75,4686.4045,468.6382
97.00,4686.4053,468.6384
97.25,4686.4058,468.6385
97.50,4686.4061,468.6387
97.75,4686.4063,468.6388
98.00,4686.4063,468.6390
98.25,4686.4061,468.6391
98.50,4686.4058,468.6392
98.75,4686.4053,468.6393
99.00,4686.4047,468.6394
99.25,4686.4040,468.6395
99.50,4686.4032,468.6396
99.75,4686.4023,468.6396
100.00,4686.4014,468.6397
