quarter years, hare pop, lynx pop
0.00,1000.0000,100.0000
0.25,1140.0000,100.0000
0.50,1296.6163,100.9211
0.75,1471.4264,102.5988
1.00,1666.0538,104.9282
1.25,1882.0392,107.8416
1.50,2120.6780,111.2952
1.75,2382.8298,115.2616
2.00,2668.7125,119.7247
2.25,2977.6972,124.6757
2.50,3308.1292,130.1113
2.75,3657.2026,136.0316
3.00,4020.9220,142.4391
3.25,4394.1758,149.3377
3.50,4770.9373,156.7316
3.75,5144.5872,164.6248
4.00,5508.3279,173.0207
4.25,5855.6386,181.9212
4.50,6180.7085,191.3264
4.75,6478.7846,201.2340
5.00,6746.3924,211.6387
5.25,6981.4091,222.5322
5.50,7183.0017,233.9022
5.75,7351.4593,245.7324
6.00,7487.9636,258.0018
6.25,7594.3382,270.6848
6.50,7672.8106,283.7501
6.75,7725.8089,297.1613
7.00,7755.8022,310.8760
7.25,7765.1866,324.8461
7.50,7756.2126,339.0174
7.75,7730.9439,353.3301
8.00,7691.2431,367.7186
8.25,7638.7731,382.1120
8.50,7575.0106,396.4347
8.75,7501.2650,410.6069
9.00,7418.7013,424.5454
9.25,7328.3621,438.1649
9.50,7231.1894,451.3788
9.75,7128.0440,464.1005
10.00,7019.7228,476.2452
10.25,6906.9732,487.7309
10.50,6790.5044,498.4801
10.75,6670.9976,508.4216
11.00,6549.1123,517.4917
11.25,6425.4913,525.6356
11.50,6300.7640,532.8087
11.75,6175.5475,538.9776
12.00,6050.4468,544.1210
12.25,5926.0535,548.2302
12.50,5802.9439,551.3091
12.75,5681.6760,553.3744
13.00,5562.7865,554.4550
13.25,5446.7873,554.5913
13.50,5334.1617,553.8344
13.75,5225.3611,552.2444
14.00,5120.8016,549.8896
14.25,5020.8609,546.8445
14.50,4925.8764,543.1884
14.75,4836.1426,539.0035
15.00,4751.9104,534.3735
15.25,4673.3855,529.3820
15.50,4600.7295,524.1110
15.75,4534.0589,518.6396
16.00,4473.4474,513.0432
16.25,4418.9264,507.3921
16.50,4370.4871,501.7515
16.75,4328.0830,496.1804
17.00,4291.6313,490.7316
17.25,4261.0165,485.4515
17.50,4236.0921,480.3802
17.75,4216.6833,475.5518
18.00,4202.5900,470.9941
18.25,4193.5886,466.7296
18.50,4189.4343,462.7755
18.75,4189.8642,459.1441
19.00,4194.5981,455.8436
19.25,4203.3419,452.8782
19.50,4215.7887,450.2484
19.75,4231.6210,447.9519
20.00,4250.5130,445.9838
20.25,4272.1324,444.3365
20.50,4296.1428,443.0008
20.75,4322.2054,441.9655
21.00,4349.9818,441.2182
21.25,4379.1359,440.7450
21.50,4409.3367,440.5313
21.75,4440.2602,440.5614
22.00,4471.5925,440.8193
22.25,4503.0314,441.2880
22.50,4534.2892,441.9506
22.75,4565.0946,442.7897
23.00,4595.1945,443.7877
23.25,4624.3559,444.9272
23.50,4652.3675,446.1906
23.75,4679.0403,447.5606
24.00,4704.2088,449.0200
24.25,4727.7318,450.5521
24.50,4749.4917,452.1403
24.75,4769.3955,453.7688
25.00,2000.0000,0.0000
25.25,2360.0000,0.0000
25.50,2765.6840,0.0000
25.75,3215.8602,0.0000
26.00,3706.7392,0.0000
26.25,4231.6075,0.0000
26.50,4780.8229,0.0000
26.75,5342.2420,0.0000
27.00,5902.1066,0.0000
27.25,6446.2962,0.0000
27.50,6961.7313,0.0000
27.75,7437.6425,0.0000
28.00,7866.4452,0.0000
28.25,8244.0738,0.0000
28.50,8569.7835,0.0000
28.75,8845.5580,0.0000
29.00,9075.3209,0.0000
29.25,9264.1355,0.0000
29.50,9417.5213,0.0000
29.75,9540.9452,0.0000
30.00,9639.4911,0.0000
30.25,9717.6813,0.0000
30.50,9779.4097,0.0000
30.75,9827.9477,0.0000
31.00,9865.9934,0.0000
31.25,9895.7408,0.0000
31.50,9918.9546,0.0000
31.75,9937.0420,0.0000
32.00,9951.1184,0.0000
32.25,9962.0630,0.0000
32.50,9970.5664,0.0000
32.75,9977.1695,0.0000
33.00,9982.2946,0.0000
33.25,9986.2713,0.0000
33.50,9989.3560,0.0000
33.75,9991.7484,0.0000
34.00,9993.6034,0.0000
34.25,9995.0417,0.0000
34.50,9996.1568,0.0000
34.75,9997.0212,0.0000
35.00,9997.6912,0.0000
35.25,9998.2106,0.0000
35.50,9998.6131,0.0000
35.75,9998.9251,0.0000
36.00,9999.1669,0.0000
36.25,9999.3544,0.0000
36.50,9999.4996,0.0000
36.75,9999.6122,0.0000
37.00,9999.6995,0.0000
37.25,9999.7671,0.0000
37.50,9999.8195,0.0000
37.75,9999.8601,0.0000
38.00,9999.8916,0.0000
38.25,9999.9160,0.0000
38.50,9999.9349,0.0000
38.75,9999.9495,0.0000
39.00,9999.9609,0.0000
39.25,9999.9697,0.0000
39.50,9999.9765,0.0000
39.75,9999.9818,0.0000
40.00,9999.9859,0.0000
40.25,9999.9891,0.0000
40.50,9999.9915,0.0000
40.75,9999.9934,0.0000
41.00,9999.9949,0.0000
41.25,9999.9961,0.0000
41.50,9999.9969,0.0000
41.75,9999.9976,0.0000
42.00,9999.9982,0.0000
42.25,9999.9986,0.0000
42.50,9999.9989,0.0000
42.75,9999.9991,0.0000
43.00,9999.9993,0.0000
43.25,9999.9995,0.0000
43.50,9999.9996,0.0000
43.75,9999.9997,0.0000
44.00,9999.9998,0.0000
44.25,9999.9998,0.0000
44.50,9999.9999,0.0000
44.75,9999.9999,0.0000
45.00,9999.9999,0.0000
45.25,9999.9999,0.0000
45.50,9999.9999,0.0000
45.75,10000.0000,0.0000
46.00,10000.0000,0.0000
46.25,10000.0000,0.0000
46.50,10000.0000,0.0000
46.75,10000.0000,0.0000
47.00,10000.0000,0.0000
47.25,10000.0000,0.0000
47.50,10000.0000,0.0000
47.75,10000.0000,0.0000
48.00,10000.0000,0.0000
48.25,10000.0000,0.0000
48.50,10000.0000,0.0000
48.75,10000.0000,0.0000
49.00,10000.0000,0.0000
49.25,10000.0000,0.0000
49.50,10000.0000,0.0000
49.75,10000.0000,0.0000
50.00,10000.0000,0.0000
50.25,10000.0000,0.0000
50.50,10000.0000,0.0000
50.75,10000.0000,0.0000
51.00,10000.0000,0.0000
51.25,10000.0000,0.0000
51.50,10000.0000,0.0000
51.75,10000.0000,0.0000
52.00,10000.0000,0.0000
52.25,10000.0000,0.0000
52.50,10000.0000,0.0000
52.75,10000.0000,0.0000
53.00,10000.0000,0.0000
53.25,10000.0000,0.0000
53.50,10000.0000,0.0000
53.75,10000.0000,0.0000
54.00,10000.0000,0.0000
54.25,10000.0000,0.0000
54.50,10000.0000,0.0000
54.75,10000.0000,0.0000
55.00,10000.0000,0.0000
55.25,10000.0000,0.0000
55.50,10000.0000,0.0000
55.75,10000.0000,0.0000
56.00,10000.0000,0.0000
56.25,10000.0000,0.0000
56.50,10000.0000,0.0000
56.75,10000.0000,0.0000
57.00,10000.0000,0.0000
57.25,10000.0000,0.0000
57.50,10000.0000,0.0000
57.75,10000.0000,0.0000
58.00,10000.0000,0.0000
58.25,10000.0000,0.0000
58.50,10000.0000,0.0000
58.75,10000.0000,0.0000
59.00,10000.0000,0.0000
59.25,10000.0000,0.0000
59.50,10000.0000,0.0000
59.75,10000.0000,0.0000
60.00,10000.0000,0.0000
60.25,10000.0000,0.0000
60.50,10000.0000,0.0000
60.75,10000.0000,0.0000
61.00,10000.0000,0.0000
61.25,10000.0000,0.0000
61.50,10000.0000,0.0000
61.75,10000.0000,0.0000
62.00,10000.0000,0.0000
62.25,10000.0000,0.0000
62.50,10000.0000,0.0000
62.75,10000.0000,0.0000
63.00,10000.0000,0.0000
63.25,10000.0000,0.0000
63.50,10000.0000,0.0000
63.75,10000.0000,0.0000
64.00,10000.0000,0.0000
64.25,10000.0000,0.0000
64.50,10000.0000,0.0000
64.75,10000.0000,0.0000
65.00,10000.0000,0.0000
65.25,10000.0000,0.0000
65.50,10000.0000,0.0000
65.75,10000.0000,0.0000
66.00,10000.0000,0.0000
66.25,10000.0000,0.0000
66.50,10000.0000,0.0000
66.75,10000.0000,0.0000
67.00,10000.0000,0.0000
67.25,10000.0000,0.0000
67.50,10000.0000,0.0000
67.75,10000.0000,0.0000
68.00,10000.0000,0.0000
68.25,10000.0000,0.0000
68.50,10000.0000,0.0000
68.75,10000.0000,0.0000
69.00,10000.0000,0.0000
69.25,10000.0000,0.0000
69.50,10000.0000,0.0000
69.75,10000.0000,0.0000
70.00,10000.0000,0.0000
70.25,10000.0000,0.0000
70.50,10000.0000,0.0000
70.75,10000.0000,0.0000
71.00,10000.0000,0.0000
71.25,10000.0000,0.0000
71.50,10000.0000,0.0000
71.75,10000.0000,0.0000
72.00,10000.0000,0.0000
72.25,10000.0000,0.0000
72.50,10000.0000,0.0000
72.75,10000.0000,0.0000
73.00,10000.0000,0.0000
73.25,10000.0000,0.0000
73.50,10000.0000,0.0000
73.75,10000.0000,0.0000
74.00,10000.0000,0.0000
74.25,10000.0000,0.0000
74.50,10000.0000,0.0000
74.75,10000.0000,0.0000
75.00,10000.0000,0.0000
75.25,10000.0000,0.0000
75.50,10000.0000,0.0000
75.75,10000.0000,0.0000
76.00,10000.0000,0.0000
76.25,10000.0000,0.0000
76.50,10000.0000,0.0000
76.75,10000.0000,0.0000
77.00,10000.0000,0.0000
77.25,10000.0000,0.0000
77.50,10000.0000,0.0000
77.75,10000.0000,0.0000
78.00,10000.0000,0.0000
78.25,10000.0000,0.0000
78.50,10000.0000,0.0000
78.75,10000.0000,0.0000
79.00,10000.0000,0.0000
79.25,10000.0000,0.0000
79.50,10000.0000,0.0000
79.75,10000.0000,0.0000
80.00,10000.0000,0.0000
80.25,10000.0000,0.0000
80.50,10000.0000,0.0000
80.75,10000.0000,0.0000
81.00,10000.0000,0.0000
81.25,10000.0000,0.0000
81.50,10000.0000,0.0000
81.75,10000.0000,0.0000
82.00,10000.0000,0.0000
82.25,10000.0000,0.0000
82.50,10000.0000,0.0000
82.75,10000.0000,0.0000
83.00,10000.0000,0.0000
83.25,10000.0000,0.0000
83.50,10000.0000,0.0000
83.75,10000.0000,0.0000
84.00,10000.0000,0.0000
84.25,10000.0000,0.0000
84.50,10000.0000,0.0000
84.75,10000.0000,0.0000
85.00,10000.0000,0.0000
85.25,10000.0000,0.0000
85.50,10000.0000,0.0000
85.75,10000.0000,0.0000
86.00,10000.0000,0.0000
86.25,10000.0000,0.0000
86.50,10000.0000,0.0000
86.75,10000.0000,0.0000
87.00,10000.0000,0.0000
87.25,10000.0000,0.0000
87.50,10000.0000,0.0000
87.75,10000.0000,0.0000
88.00,10000.0000,0.0000
88.25,10000.0000,0.0000
88.50,10000.0000,0.0000
88.75,10000.0000,0.0000
89.00,10000.0000,0.0000
89.25,10000.0000,0.0000
89.50,10000.0000,0.0000
89.75,10000.0000,0.0000
90.00,10000.0000,0.0000
90.25,10000.0000,0.0000
90.50,10000.0000,0.0000
90.75,10000.0000,0.0000
91.00,10000.0000,0.0000
91.25,10000.0000,0.0000
91.50,10000.0000,0.0000
91.75,10000.0000,0.0000
92.00,10000.0000,0.0000
92.25,10000.0000,0.0000
92.50,10000.0000,0.0000
92.75,10000.0000,0.0000
93.00,10000.0000,0.0000
93.25,10000.0000,0.0000
93.50,10000.0000,0.0000
93.75,10000.0000,0.0000
94.00,10000.0000,0.0000
94.25,10000.0000,0.0000
94.50,10000.0000,0.0000
94.75,10000.0000,0.0000
95.00,10000.0000,0.0000
95.25,10000.0000,0.0000
95.50,10000.0000,0.0000
95.75,10000.0000,0.0000
96.00,10000.0000,0.0000
96.25,10000.0000,0.0000
96.50,10000.0000,0.0000
96.75,10000.0000,0.0000
97.00,10000.0000,0.0000
97.25,10000.0000,0.0000
97.50,10000.0000,0.0000
97.75,10000.0000,0.0000
98.00,10000.0000,0.0000
98.25,10000.0000,0.0000
98.50,10000.0000,0.0000
98.75,10000.0000,0.0000
99.00,10000.0000,0.0000
99.25,10000.0000,0.0000
99.50,10000.0000,0.0000
99.75,10000.0000,0.0000
100.00,10000.0000,0.0000
