time half hours, Cell con, Sub con
0.0000,30.0000,20.0000
0.5000,30.1125,19.9500
1.0000,30.2251,19.8986
1.5000,30.3378,19.8457
2.0000,30.4505,19.7914
2.5000,30.5633,19.7357
3.0000,30.6761,19.6786
3.5000,30.7890,19.6200
4.0000,30.9019,19.5601
4.5000,31.0147,19.4988
5.0000,31.1276,19.4360
5.5000,31.2404,19.3719
6.0000,31.3532,19.3065
6.5000,31.4660,19.2397
7.0000,31.5786,19.1715
7.5000,31.6912,19.1019
8.0000,31.8037,19.0310
8.5000,31.9160,18.9588
9.0000,32.0282,18.8853
9.5000,32.1403,18.8105
10.0000,32.2522,18.7343
10.5000,32.3640,18.6568
11.0000,32.4755,18.5781
11.5000,32.5868,18.4981
12.0000,32.6979,18.4168
12.5000,32.8087,18.3342
13.0000,32.9192,18.2504
13.5000,33.0295,18.1654
14.0000,33.1395,18.0791
14.5000,33.2491,17.9916
15.0000,33.3584,17.9029
15.5000,33.4674,17.8130
16.0000,33.5759,17.7220
16.5000,33.6841,17.6297
17.0000,33.7919,17.5363
17.5000,33.8992,17.4418
18.0000,34.0060,17.3461
18.5000,34.1124,17.2492
19.0000,34.2183,17.1513
19.5000,34.3237,17.0523
20.0000,34.4285,16.9522
20.5000,34.5327,16.8510
21.0000,34.6364,16.7487
21.5000,34.7395,16.6454
22.0000,34.8419,16.5411
22.5000,34.9437,16.4358
23.0000,35.0449,16.3294
23.5000,35.1453,16.2221
24.0000,35.2450,16.1138
24.5000,35.3440,16.0046
25.0000,35.4422,15.8944
25.5000,35.5397,15.7833
26.0000,35.6363,15.6713
26.5000,35.7321,15.5584
27.0000,35.8270,15.4446
27.5000,35.9211,15.3300
28.0000,36.0142,15.2145
28.5000,36.1065,15.0982
29.0000,36.1977,14.9811
29.5000,36.2880,14.8633
30.0000,36.3773,14.7446
30.5000,36.4656,14.6253
31.0000,36.5528,14.5051
31.5000,36.6390,14.3843
32.0000,36.7240,14.2628
32.5000,36.8079,14.1406
33.0000,36.8907,14.0178
33.5000,36.9722,13.8944
34.0000,37.0526,13.7703
34.5000,37.1318,13.6457
35.0000,37.2096,13.5205
35.5000,37.2862,13.3947
36.0000,37.3615,13.2685
36.5000,37.4355,13.1417
37.0000,37.5081,13.0145
37.5000,37.5793,12.8868
38.0000,37.6491,12.7586
38.5000,37.7175,12.6301
39.0000,37.7844,12.5012
39.5000,37.8498,12.3719
40.0000,37.9137,12.2423
40.5000,37.9760,12.1124
41.0000,38.0368,11.9822
41.5000,38.0960,11.8517
42.0000,38.1536,11.7210
42.5000,38.2096,11.5901
43.0000,38.2638,11.4590
43.5000,38.3164,11.3278
44.0000,38.3673,11.1964
44.5000,38.4164,11.0649
45.0000,38.4638,10.9333
45.5000,38.5094,10.8017
46.0000,38.5532,10.6701
46.5000,38.5951,10.5384
47.0000,38.6352,10.4068
47.5000,38.6735,10.2752
48.0000,38.7098,10.1437
48.5000,38.7442,10.0124
49.0000,38.7767,9.8812
49.5000,38.8072,9.7501
50.0000,38.8357,9.6192
50.5000,38.8623,9.4886
51.0000,38.8868,9.3582
51.5000,38.9093,9.2281
52.0000,38.9297,9.0984
52.5000,38.9481,8.9689
53.0000,38.9644,8.8399
53.5000,38.9786,8.7112
54.0000,38.9906,8.5830
54.5000,39.0006,8.4552
55.0000,39.0084,8.3279
55.5000,39.0140,8.2011
56.0000,39.0175,8.0749
56.5000,39.0188,7.9493
57.0000,39.0179,7.8243
57.5000,39.0148,7.6999
58.0000,39.0095,7.5761
58.5000,39.0020,7.4531
59.0000,38.9923,7.3308
59.5000,38.9804,7.2093
60.0000,38.9662,7.0885
60.5000,38.9499,6.9686
61.0000,38.9312,6.8495
61.5000,38.9104,6.7313
62.0000,38.8873,6.6140
62.5000,38.8620,6.4976
63.0000,38.8344,6.3822
63.5000,38.8047,6.2677
